CLIENTNUM,Attrition_Flag,observed_churn,churn_probability,predicted_churn,is_high_risk,risk_band,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,age_band,tenure_band,inactivity_band,Customer_Age,Dependent_count,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total_Relationship_Count,decision_threshold_used,model_name
715016508,Attrited Customer,1,0.9999667341112132,1,True,High,F,High School,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,42,3,36,3,4,4527.0,0,4527.0,2441,37,0.801,0.37,0.0,1,0.5,lightgbm
778867533,Attrited Customer,1,0.999966451055079,1,True,High,F,Post-Graduate,Married,$40K - $60K,Blue,50-64,25-48 mo,4-6 mo,59,0,40,4,1,1438.3,0,1438.3,689,23,1.038,0.353,0.0,1,0.5,lightgbm
709560258,Attrited Customer,1,0.9999642162397749,1,True,High,F,Graduate,Single,Unknown,Blue,35-49,25-48 mo,2-3 mo,49,3,31,3,4,4946.0,0,4946.0,2239,38,0.54,0.407,0.0,2,0.5,lightgbm
809849358,Attrited Customer,1,0.9999635610839501,1,True,High,F,Graduate,Divorced,Less than $40K,Blue,50-64,49-72 mo,4-6 mo,55,2,50,6,3,1720.0,0,1720.0,2719,36,0.707,0.44,0.0,2,0.5,lightgbm
772271508,Attrited Customer,1,0.9999635528660353,1,True,High,F,Uneducated,Single,Unknown,Blue,35-49,25-48 mo,2-3 mo,46,3,35,3,3,1706.0,0,1706.0,2320,42,0.726,0.448,0.0,2,0.5,lightgbm
712982808,Attrited Customer,1,0.9999634744194041,1,True,High,M,Doctorate,Divorced,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,47,2,32,3,3,1438.3,0,1438.3,2388,42,0.454,0.5,0.0,1,0.5,lightgbm
720243933,Attrited Customer,1,0.9999621119251447,1,True,High,M,Uneducated,Married,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,47,2,32,3,6,1789.0,0,1789.0,2784,49,0.637,0.581,0.0,1,0.5,lightgbm
719808558,Attrited Customer,1,0.9999610312774194,1,True,High,F,Graduate,Married,Less than $40K,Blue,50-64,25-48 mo,4-6 mo,55,2,43,4,3,1438.3,0,1438.3,886,27,0.707,0.421,0.0,2,0.5,lightgbm
708508758,Attrited Customer,1,0.9999598026992668,1,True,High,F,Graduate,Married,Less than $40K,Blue,50-64,49-72 mo,2-3 mo,62,0,49,3,3,1438.3,0,1438.3,692,16,1.047,0.6,0.0,2,0.5,lightgbm
718352358,Attrited Customer,1,0.9999590418927117,1,True,High,F,Post-Graduate,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,49,3,35,3,2,1914.0,0,1914.0,2687,41,0.677,0.414,0.0,3,0.5,lightgbm
717448383,Attrited Customer,1,0.9999588594824649,1,True,High,M,Unknown,Single,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,41,4,28,2,4,4428.0,0,4428.0,2331,36,0.865,0.286,0.0,1,0.5,lightgbm
708892833,Attrited Customer,1,0.9999571487031346,1,True,High,M,Graduate,Married,$120K +,Blue,35-49,25-48 mo,4-6 mo,37,2,30,4,4,13662.0,0,13662.0,725,22,0.153,0.0,0.0,2,0.5,lightgbm
719547033,Attrited Customer,1,0.9999568317889926,1,True,High,M,Unknown,Married,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,40,4,31,3,6,23502.0,0,23502.0,7957,60,0.839,0.875,0.0,1,0.5,lightgbm
718577958,Attrited Customer,1,0.999956501875311,1,True,High,M,Uneducated,Married,$120K +,Blue,35-49,25-48 mo,2-3 mo,39,2,26,3,4,8906.0,0,8906.0,809,15,0.315,0.25,0.0,2,0.5,lightgbm
709500183,Attrited Customer,1,0.9999564161065341,1,True,High,F,College,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,46,3,36,3,4,1804.0,0,1804.0,2077,44,0.537,0.419,0.0,2,0.5,lightgbm
721249158,Attrited Customer,1,0.9999549372280938,1,True,High,M,Uneducated,Single,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,42,2,30,2,3,6414.0,0,6414.0,708,14,0.718,0.4,0.0,2,0.5,lightgbm
805313808,Attrited Customer,1,0.9999544584808571,1,True,High,F,High School,Married,$40K - $60K,Blue,50-64,25-48 mo,2-3 mo,52,3,47,2,3,8018.0,134,7884.0,2409,38,0.717,0.31,0.017,2,0.5,lightgbm
715919283,Attrited Customer,1,0.9999537749364652,1,True,High,F,College,Single,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,39,4,36,2,3,1776.0,0,1776.0,2201,31,0.518,0.292,0.0,3,0.5,lightgbm
714871683,Attrited Customer,1,0.9999530010184203,1,True,High,M,Uneducated,Married,$40K - $60K,Blue,50-64,25-48 mo,4-6 mo,58,1,36,4,3,1438.3,537,901.3,715,13,0.819,0.182,0.373,2,0.5,lightgbm
799239033,Attrited Customer,1,0.999951020721757,1,True,High,F,High School,Single,$40K - $60K,Blue,50-64,25-48 mo,2-3 mo,53,3,47,3,4,1714.0,0,1714.0,2279,46,0.661,0.533,0.0,1,0.5,lightgbm
716299608,Attrited Customer,1,0.9999507886285901,1,True,High,F,Unknown,Divorced,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,58,3,36,2,3,1508.0,0,1508.0,1990,31,0.458,0.192,0.0,2,0.5,lightgbm
711540108,Attrited Customer,1,0.9999494471330473,1,True,High,F,Doctorate,Unknown,Unknown,Blue,35-49,25-48 mo,2-3 mo,44,4,33,3,6,1438.3,0,1438.3,2316,48,0.676,0.5,0.0,5,0.5,lightgbm
711201108,Attrited Customer,1,0.9999476304049738,1,True,High,F,High School,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,37,3,29,3,3,1653.0,0,1653.0,2284,35,0.517,0.296,0.0,3,0.5,lightgbm
781137783,Attrited Customer,1,0.9999468510582742,1,True,High,M,High School,Unknown,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,40,3,33,3,4,2420.0,191,2229.0,2478,43,0.818,0.433,0.079,1,0.5,lightgbm
712706058,Attrited Customer,1,0.999946706957223,1,True,High,F,Graduate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,44,5,37,2,4,1491.0,0,1491.0,1970,46,0.551,0.484,0.0,1,0.5,lightgbm
714677583,Attrited Customer,1,0.9999462495452905,1,True,High,F,Doctorate,Single,Unknown,Blue,50-64,25-48 mo,2-3 mo,50,3,36,3,3,5173.0,0,5173.0,8757,68,0.912,0.789,0.0,4,0.5,lightgbm
719986758,Attrited Customer,1,0.9999459357252894,1,True,High,F,Unknown,Single,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,46,2,33,3,6,3001.0,0,3001.0,2577,39,0.74,0.444,0.0,5,0.5,lightgbm
712159083,Attrited Customer,1,0.999945279591844,1,True,High,F,Unknown,Married,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,58,4,46,3,3,2536.0,0,2536.0,901,35,0.917,0.522,0.0,2,0.5,lightgbm
754443033,Attrited Customer,1,0.99994493338426,1,True,High,M,Graduate,Single,$80K - $120K,Silver,50-64,25-48 mo,2-3 mo,50,1,43,3,3,34516.0,432,34084.0,9045,72,0.807,1.0,0.013,6,0.5,lightgbm
713931258,Attrited Customer,1,0.9999445753879835,1,True,High,F,Graduate,Married,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,56,3,45,3,4,1438.3,0,1438.3,1988,42,0.315,0.355,0.0,2,0.5,lightgbm
709709283,Attrited Customer,1,0.9999445150968629,1,True,High,M,College,Single,$40K - $60K,Blue,35-49,0-24 mo,2-3 mo,38,3,19,2,4,3458.0,321,3137.0,2256,40,0.586,0.29,0.093,1,0.5,lightgbm
807379833,Attrited Customer,1,0.999944321699016,1,True,High,M,Graduate,Divorced,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,48,3,43,3,3,9104.0,145,8959.0,2563,34,0.765,0.417,0.016,2,0.5,lightgbm
771422883,Attrited Customer,1,0.9999426642846149,1,True,High,F,Graduate,Married,Less than $40K,Blue,50-64,25-48 mo,4-6 mo,57,3,45,4,2,1759.0,186,1573.0,2705,35,0.756,0.522,0.106,1,0.5,lightgbm
717664008,Attrited Customer,1,0.9999426461595473,1,True,High,M,College,Married,$60K - $80K,Blue,35-49,0-24 mo,2-3 mo,37,3,19,3,4,3100.0,2517,583.0,694,12,0.35,0.2,0.812,2,0.5,lightgbm
715409733,Attrited Customer,1,0.9999425291756651,1,True,High,F,College,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,47,4,36,2,3,2263.0,0,2263.0,2385,33,0.752,0.375,0.0,2,0.5,lightgbm
767294658,Attrited Customer,1,0.9999417094158046,1,True,High,M,College,Single,$120K +,Blue,50-64,49-72 mo,2-3 mo,56,2,50,2,3,16867.0,0,16867.0,654,14,0.885,0.4,0.0,2,0.5,lightgbm
714581358,Attrited Customer,1,0.9999414107715998,1,True,High,F,Graduate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,48,3,43,3,4,1502.0,0,1502.0,2204,36,0.529,0.44,0.0,3,0.5,lightgbm
778819083,Attrited Customer,1,0.9999404289995614,1,True,High,F,Doctorate,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,41,2,33,3,3,1604.0,0,1604.0,2264,47,0.644,0.516,0.0,1,0.5,lightgbm
714602658,Attrited Customer,1,0.9999392779362638,1,True,High,F,Graduate,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,39,1,36,2,3,1462.0,0,1462.0,1998,36,0.393,0.161,0.0,1,0.5,lightgbm
712950783,Attrited Customer,1,0.9999391665524707,1,True,High,F,Uneducated,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,48,4,38,2,3,2732.0,0,2732.0,739,16,0.76,0.455,0.0,3,0.5,lightgbm
720963258,Attrited Customer,1,0.9999391477880406,1,True,High,F,College,Married,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,52,3,40,2,3,3474.0,0,3474.0,2675,37,0.735,0.48,0.0,3,0.5,lightgbm
714406158,Attrited Customer,1,0.9999376451681677,1,True,High,F,High School,Divorced,Unknown,Blue,50-64,25-48 mo,2-3 mo,53,3,36,3,6,7939.0,0,7939.0,2269,42,0.551,0.312,0.0,4,0.5,lightgbm
789842283,Attrited Customer,1,0.9999374078324273,1,True,High,M,Graduate,Married,$60K - $80K,Blue,50-64,25-48 mo,2-3 mo,54,2,42,3,2,4320.0,0,4320.0,706,21,0.967,0.5,0.0,3,0.5,lightgbm
771594783,Attrited Customer,1,0.9999353777536881,1,True,High,F,College,Married,Unknown,Blue,50-64,25-48 mo,4-6 mo,56,1,44,4,4,1438.3,0,1438.3,2264,37,0.859,0.423,0.0,2,0.5,lightgbm
709345008,Attrited Customer,1,0.999934897584276,1,True,High,F,Doctorate,Married,Unknown,Blue,50-64,25-48 mo,2-3 mo,53,2,39,2,3,1438.3,0,1438.3,807,22,0.644,0.692,0.0,1,0.5,lightgbm
720507108,Attrited Customer,1,0.9999336104969367,1,True,High,F,College,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,42,3,28,3,2,1601.0,0,1601.0,2339,41,0.63,0.414,0.0,3,0.5,lightgbm
715773783,Attrited Customer,1,0.9999329207584545,1,True,High,F,Graduate,Single,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,44,2,35,3,4,4196.0,561,3635.0,2558,38,0.741,0.652,0.134,2,0.5,lightgbm
713027058,Attrited Customer,1,0.9999326840849756,1,True,High,F,Doctorate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,46,4,36,2,3,2292.0,0,2292.0,2595,31,0.568,0.409,0.0,2,0.5,lightgbm
713283933,Attrited Customer,1,0.9999321433186847,1,True,High,M,Uneducated,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,42,2,30,3,3,3032.0,0,3032.0,2273,44,0.429,0.517,0.0,1,0.5,lightgbm
716644008,Attrited Customer,1,0.9999319316181402,1,True,High,M,Graduate,Single,$120K +,Silver,50-64,25-48 mo,2-3 mo,55,3,36,3,4,34516.0,0,34516.0,9931,70,1.007,0.75,0.0,4,0.5,lightgbm
711800658,Attrited Customer,1,0.9999311780208252,1,True,High,F,High School,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,42,3,36,3,3,2145.0,0,2145.0,2465,42,0.577,0.355,0.0,2,0.5,lightgbm
778191933,Attrited Customer,1,0.9999307906346084,1,True,High,M,Uneducated,Single,$120K +,Blue,35-49,25-48 mo,2-3 mo,45,3,35,3,5,7135.0,2517,4618.0,2305,42,0.631,0.448,0.353,2,0.5,lightgbm
720197058,Attrited Customer,1,0.9999302844703908,1,True,High,F,Graduate,Unknown,Unknown,Blue,35-49,25-48 mo,2-3 mo,47,3,33,3,4,3443.0,0,3443.0,2505,45,0.832,0.452,0.0,1,0.5,lightgbm
826709658,Attrited Customer,1,0.9999302163323358,1,True,High,F,Graduate,Divorced,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,45,3,41,3,3,1477.0,0,1477.0,2214,43,0.768,0.654,0.0,1,0.5,lightgbm
720693033,Attrited Customer,1,0.999930165480445,1,True,High,M,Unknown,Married,$60K - $80K,Blue,Under 35,25-48 mo,2-3 mo,33,1,36,3,4,8925.0,168,8757.0,741,10,0.447,0.429,0.019,1,0.5,lightgbm
785237958,Attrited Customer,1,0.9999270070048795,1,True,High,M,College,Married,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,45,5,39,3,3,3439.0,0,3439.0,2661,35,0.825,0.296,0.0,2,0.5,lightgbm
712768983,Attrited Customer,1,0.999926759586653,1,True,High,M,Graduate,Single,$80K - $120K,Silver,50-64,25-48 mo,4-6 mo,51,4,42,4,2,34516.0,230,34286.0,8629,65,1.004,0.548,0.007,6,0.5,lightgbm
714471183,Attrited Customer,1,0.9999265360806258,1,True,High,M,Graduate,Divorced,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,47,4,39,3,4,17504.0,476,17028.0,10468,66,0.892,0.737,0.027,4,0.5,lightgbm
808903308,Attrited Customer,1,0.9999259388056891,1,True,High,F,Unknown,Married,$40K - $60K,Blue,50-64,49-72 mo,2-3 mo,54,1,49,3,6,2471.0,0,2471.0,2519,35,0.722,0.522,0.0,4,0.5,lightgbm
771809733,Attrited Customer,1,0.9999254033479134,1,True,High,F,High School,Married,$40K - $60K,Blue,50-64,49-72 mo,2-3 mo,64,0,53,3,3,3353.0,0,3353.0,960,18,1.021,0.385,0.0,1,0.5,lightgbm
711527508,Attrited Customer,1,0.9999250691050892,1,True,High,F,High School,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,46,3,34,3,2,8583.0,0,8583.0,1794,31,0.358,0.292,0.0,2,0.5,lightgbm
718524783,Attrited Customer,1,0.999925002428509,1,True,High,M,High School,Unknown,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,40,3,34,3,4,29715.0,0,29715.0,2128,39,0.399,0.345,0.0,1,0.5,lightgbm
708708858,Attrited Customer,1,0.9999248014822218,1,True,High,F,Graduate,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,50,1,36,3,4,2422.0,502,1920.0,2548,46,0.997,0.484,0.207,1,0.5,lightgbm
761079783,Attrited Customer,1,0.999924615929544,1,True,High,M,Graduate,Married,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,40,3,33,3,6,5500.0,442,5058.0,7720,67,0.609,0.558,0.08,5,0.5,lightgbm
767553333,Attrited Customer,1,0.9999239435221183,1,True,High,M,Graduate,Single,$80K - $120K,Blue,35-49,25-48 mo,2-3 mo,45,3,39,3,3,8383.0,0,8383.0,2600,44,0.809,0.517,0.0,1,0.5,lightgbm
712036383,Attrited Customer,1,0.9999231786091872,1,True,High,M,High School,Single,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,49,4,30,3,3,18418.0,0,18418.0,9980,68,0.918,0.744,0.0,6,0.5,lightgbm
711626658,Attrited Customer,1,0.9999225912467541,1,True,High,F,High School,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,62,1,36,3,4,1930.0,0,1930.0,1971,45,0.331,0.25,0.0,2,0.5,lightgbm
714188883,Attrited Customer,1,0.999922354075738,1,True,High,F,Doctorate,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,46,5,37,2,2,1787.0,0,1787.0,2345,36,0.654,0.286,0.0,3,0.5,lightgbm
778929783,Attrited Customer,1,0.9999206623385298,1,True,High,M,Graduate,Divorced,$80K - $120K,Blue,35-49,0-24 mo,2-3 mo,40,3,22,2,3,1925.0,0,1925.0,781,28,0.672,0.75,0.0,2,0.5,lightgbm
711013983,Attrited Customer,1,0.9999200334040116,1,True,High,F,Unknown,Married,$40K - $60K,Blue,50-64,25-48 mo,4-6 mo,55,4,45,4,3,2158.0,0,2158.0,615,12,0.585,0.714,0.0,2,0.5,lightgbm
708266883,Attrited Customer,1,0.9999195001901471,1,True,High,F,Graduate,Single,Less than $40K,Blue,Under 35,25-48 mo,2-3 mo,34,2,36,2,3,1666.0,0,1666.0,2312,35,0.713,0.25,0.0,1,0.5,lightgbm
789358908,Attrited Customer,1,0.9999183522662409,1,True,High,F,College,Married,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,53,3,43,2,2,3573.0,0,3573.0,2562,36,0.842,0.44,0.0,3,0.5,lightgbm
720426708,Attrited Customer,1,0.9999179030918804,1,True,High,M,High School,Single,$60K - $80K,Blue,50-64,25-48 mo,0-1 mo,56,3,45,1,3,8512.0,0,8512.0,811,27,1.038,1.25,0.0,2,0.5,lightgbm
712660308,Attrited Customer,1,0.9999177406359078,1,True,High,F,High School,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,44,1,36,3,3,1895.0,0,1895.0,2472,40,0.736,0.429,0.0,2,0.5,lightgbm
815504583,Attrited Customer,1,0.9999169565387191,1,True,High,F,Graduate,Single,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,48,4,43,2,4,1538.0,0,1538.0,2275,43,0.684,0.483,0.0,3,0.5,lightgbm
717371583,Attrited Customer,1,0.9999168874453936,1,True,High,F,Uneducated,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,56,2,36,3,5,1883.0,400,1483.0,1954,45,0.528,0.5,0.212,1,0.5,lightgbm
711683358,Attrited Customer,1,0.9999165125492382,1,True,High,F,High School,Unknown,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,46,3,41,3,4,3313.0,0,3313.0,2135,44,0.561,0.419,0.0,2,0.5,lightgbm
804462633,Attrited Customer,1,0.999916487833215,1,True,High,F,High School,Divorced,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,43,3,38,3,3,7084.0,0,7084.0,2287,44,0.523,0.294,0.0,3,0.5,lightgbm
772306383,Attrited Customer,1,0.9999156781181844,1,True,High,F,Unknown,Unknown,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,57,3,43,3,2,1462.0,0,1462.0,2299,42,0.602,0.312,0.0,5,0.5,lightgbm
708117933,Attrited Customer,1,0.999913465720076,1,True,High,F,Graduate,Divorced,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,44,2,36,2,3,1880.0,0,1880.0,2469,34,0.519,0.417,0.0,3,0.5,lightgbm
812411058,Attrited Customer,1,0.999912760389108,1,True,High,F,Uneducated,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,49,0,44,3,2,2094.0,0,2094.0,2690,46,0.897,0.484,0.0,3,0.5,lightgbm
712843983,Attrited Customer,1,0.9999117025853571,1,True,High,F,College,Divorced,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,41,2,36,3,4,1569.0,257,1312.0,2288,45,0.408,0.667,0.164,3,0.5,lightgbm
715194183,Attrited Customer,1,0.9999105871130685,1,True,High,F,Unknown,Single,Less than $40K,Blue,50-64,25-48 mo,2-3 mo,53,2,36,3,4,2575.0,411,2164.0,2423,43,0.833,0.593,0.16,3,0.5,lightgbm
715493733,Attrited Customer,1,0.9999091188730485,1,True,High,M,Graduate,Married,$40K - $60K,Blue,50-64,25-48 mo,2-3 mo,53,2,36,3,4,5735.0,0,5735.0,9088,64,1.009,0.684,0.0,2,0.5,lightgbm
789322833,Attrited Customer,1,0.9999088408068066,1,True,High,F,High School,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,48,5,38,3,3,8025.0,0,8025.0,673,18,0.654,0.8,0.0,1,0.5,lightgbm
710679933,Attrited Customer,1,0.9999085948820418,1,True,High,M,Graduate,Single,$80K - $120K,Blue,50-64,49-72 mo,4-6 mo,59,1,54,5,4,15633.0,0,15633.0,8660,58,0.984,0.758,0.0,2,0.5,lightgbm
709064208,Attrited Customer,1,0.9999085693089148,1,True,High,F,Uneducated,Single,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,43,2,32,3,6,1628.0,275,1353.0,2219,49,0.69,0.531,0.169,4,0.5,lightgbm
815085708,Attrited Customer,1,0.9999079311338582,1,True,High,F,High School,Single,$40K - $60K,Blue,50-64,49-72 mo,4-6 mo,60,0,55,5,5,10882.0,2517,8365.0,1861,46,0.266,0.278,0.231,1,0.5,lightgbm
712783083,Attrited Customer,1,0.9999070973961229,1,True,High,F,High School,Married,Less than $40K,Blue,35-49,25-48 mo,2-3 mo,48,4,37,2,3,3607.0,0,3607.0,2013,35,0.504,0.458,0.0,1,0.5,lightgbm
767784708,Attrited Customer,1,0.9999069898073014,1,True,High,M,Doctorate,Married,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,48,0,41,3,4,7277.0,504,6773.0,2356,40,0.582,0.29,0.069,2,0.5,lightgbm
717640083,Attrited Customer,1,0.999906877078641,1,True,High,M,High School,Married,$60K - $80K,Blue,50-64,25-48 mo,2-3 mo,59,1,36,2,3,6705.0,0,6705.0,731,18,0.749,0.5,0.0,3,0.5,lightgbm
770024733,Attrited Customer,1,0.9999060998629131,1,True,High,F,Uneducated,Single,$40K - $60K,Blue,50-64,25-48 mo,2-3 mo,53,2,47,2,3,1699.0,0,1699.0,2520,49,0.602,0.531,0.0,1,0.5,lightgbm
719868183,Attrited Customer,1,0.9999047634729602,1,True,High,F,High School,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,42,3,30,3,2,1456.0,0,1456.0,2843,42,0.694,0.5,0.0,5,0.5,lightgbm
710552733,Attrited Customer,1,0.9999045052621113,1,True,High,M,Unknown,Married,$60K - $80K,Blue,35-49,25-48 mo,2-3 mo,42,5,36,3,2,4963.0,0,4963.0,2335,40,0.637,0.429,0.0,2,0.5,lightgbm
720551733,Attrited Customer,1,0.9999045039845228,1,True,High,F,Doctorate,Married,Unknown,Blue,35-49,25-48 mo,2-3 mo,46,4,26,3,6,15195.0,0,15195.0,2631,41,0.726,0.64,0.0,3,0.5,lightgbm
712578933,Attrited Customer,1,0.9999036207032381,1,True,High,F,High School,Married,$40K - $60K,Blue,35-49,25-48 mo,2-3 mo,35,5,25,2,6,1438.3,0,1438.3,2500,44,0.763,0.517,0.0,3,0.5,lightgbm
720128658,Attrited Customer,1,0.9999027901981434,1,True,High,M,Uneducated,Single,$120K +,Blue,35-49,25-48 mo,2-3 mo,49,1,30,3,3,5181.0,0,5181.0,8943,68,0.83,1.0,0.0,5,0.5,lightgbm
709362033,Attrited Customer,1,0.9999012806296277,1,True,High,F,Graduate,Married,Less than $40K,Blue,50-64,25-48 mo,4-6 mo,52,1,42,5,3,1471.0,0,1471.0,2253,48,0.624,0.455,0.0,1,0.5,lightgbm
